;Experiment #1;;;;Experiment #2;;;;Experiment #3;;;;Experiment #4;;;;Experiment #5;;;;Experiment #6;;;;Experiment #7;Ne pas utiliser, déjà perfusé par NH4Cl à t = 0;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Time (s);pH Value 1;;;Time (s);pH Value 2;;;Time (s);pH Value 3;;;Time (s);pH Value 4;;;Time (s);pH Value (5);;;Time (s);pH Value 6;;;Time (s);pH Value (7);;;;;
;101,78;7,621864932;;;2748,26;7,271081959;;;1296,34;7,48586179;;;1175,38;7,627657255;;;158,93;8,253062813;;;2325;7,39821555;;;1581,73;6,78376213;;;;;
;102,78;7,607148487;;;2749,26;;;;1356,34;7,475965652;;;1205,38;7,626272581;;;163,93;8,374421732;;;2355;7,397945911;;;1611,73;6,692823724;;;;;
;103,78;7,610933747;;;2750,26;;;;1416,34;7,471538938;;;1235,38;7,618600023;;;168,93;8,374421732;;;2385;7,39063638;;;1641,73;6,703965729;;;;;
;104,78;7,615042615;;;2751,53;7,269673599;;;1476,34;7,462479653;;;1265,38;7,615429713;;;173,93;8,428422765;;;2415;7,365953162;;;1671,73;6,706984491;;;;;
;105,78;7,612700008;;;2751,53;7,263752623;;;1536,34;7,464931602;;;1295,38;7,620450985;;;178,93;8,502515026;;;2445;7,346595756;;;1701,73;6,723778903;;;;;
;106,78;7,605930506;;;2752,26;7,263823738;;;1596,34;7,455629884;;;1325,38;7,614572851;;;183,93;8,429699505;;;2475;7,34795247;;;1731,73;6,687954669;;;;;
;107,78;7,606280805;;;2753,26;7,268981866;;;1656,34;7,445895311;;;1355,38;7,609984266;;;193,93;8,466553102;;;2505;7,335958821;;;1761,73;6,655969172;;;;;
;108,78;7,601341864;;;2754,26;7,267367881;;;1716,34;7,446020113;;;1385,38;7,601191014;;;203,93;8,490028848;;;2535;7,338442342;;;1779,31;6,650096229;;;;;
;109,78;7,602079864;;;2755,26;7,264594167;;;1776,34;7,443193782;;;1415,38;7,593103556;;;213,93;8,430261368;;;2565;7,325158547;;;1784,31;6,498614397;;;;;
;110,78;7,59801558;;;2756,26;7,264749017;;;1836,34;7,430008043;;;1445,38;7,588043219;;;223,93;8,477974707;;;2595;7,323993202;;;1789,31;#NUM!;;;;;
;111,78;7,596643343;;;2757,26;7,266160204;;;1896,34;7,425639133;;;1475,38;7,585502256;;;233,93;8,505074914;;;2625;7,298091908;;;1794,31;#NUM!;;;;;
;112,78;7,593019828;;;2758,26;7,26517754;;;1956,34;7,417820462;;;1505,38;7,585000321;;;263,93;8,849530568;;;2655;7,283775481;;;1799,31;6,528711148;;;;;
;113,78;7,596147082;;;2759,26;7,260876657;;;2016,34;7,419392094;;;1535,38;7,580002399;;;293,93;8,849530568;;;2685;7,263992401;;;1804,31;6,409593073;;;;;
;114,78;7,597470121;;;2760,26;7,258212505;;;2076,34;7,418404112;;;1565,38;7,575502575;;;323,93;8,806361529;;;2715;7,257999417;;;1808,72;#NUM!;;;;;
;115,78;7,598725988;;;2761,26;7,265954891;;;2136,34;7,416559571;;;1595,38;7,582252189;;;353,93;9,051106383;;;2745;7,245601675;;;1809,31;6,483063391;;;;;
;116,78;7,601488025;;;2762,26;7,263431216;;;2196,34;7,418028296;;;1625,38;7,570800393;;;383,93;8,715527506;;;2775;7,235933164;;;1814,31;#NUM!;;;;;
;117,78;7,596802049;;;2763,26;7,266113051;;;2256,34;7,411157893;;;1655,38;7,573364971;;;413,93;8,822503376;;;2805;7,244336753;;;1819,31;6,423746825;;;;;
;118,78;7,595310421;;;2764,26;7,264776523;;;2316,34;7,410108494;;;1685,38;7,574019132;;;443,93;8,586601293;;;2835;7,237365764;;;1824,31;#NUM!;;;;;
;119,78;7,591083561;;;2765,26;7,265336597;;;2376,34;7,415419611;;;1715,38;7,576799688;;;473,93;8,533356411;;;2865;7,215401558;;;1829,31;6,54174814;;;;;
;120,78;7,594502118;;;2766,26;7,270123113;;;2436,34;7,407095489;;;1745,38;7,563088324;;;503,92;8,533356411;;;2895;7,194197509;;;1834,31;6,602476665;;;;;
;121,78;7,589674215;;;2767,26;7,269509735;;;2496,34;7,409933888;;;1775,38;7,559570796;;;533,92;8,764629677;;;2925;7,190092192;;;1839,31;6,590538476;;;;;
;122,78;7,590774737;;;2768,26;7,261734372;;;2556,34;7,402519614;;;1805,38;7,570220095;;;563,92;8,764629677;;;2955;7,185259514;;;1844,31;6,661467984;;;;;
;123,78;7,593014086;;;2769,26;7,263105467;;;2616,34;7,394397387;;;1835,38;7,553920082;;;593,92;8,594069856;;;2985;7,178064754;;;1849,31;6,665983443;;;;;
;124,78;7,592524453;;;2770,26;7,253398934;;;2676,34;7,399240482;;;1865,38;7,545928149;;;623,92;8,613964983;;;3015;7,16603427;;;1854,31;6,647898684;;;;;
;125,78;7,595936885;;;2771,75;7,248413783;;;2736,34;7,3885666;;;1895,38;7,551328027;;;653,92;8,530991911;;;3045;7,146570264;;;1859,31;6,622196735;;;;;
;126,78;7,588186817;;;2772,75;7,258713412;;;2796,34;7,386530853;;;1925,38;7,556927841;;;683,92;8,459189213;;;3075;7,504917068;;;1864,31;6,589532433;;;;;
;127,78;7,586428058;;;2773,75;7,267723278;;;2856,34;7,388833781;;;1955,38;7,543274704;;;713,92;8,385094916;;;3105;7,132584977;;;1869,31;6,630805385;;;;;
;142,78;7,586001023;;;2774,75;7,263087937;;;2916,34;7,376764274;;;1985,38;7,543034214;;;743,92;8,381550352;;;3135;7,113020572;;;1874,31;6,566096526;;;;;
;157,78;7,577799702;;;2775,75;7,265374986;;;2976,34;7,368318174;;;2015,38;7,54425113;;;773,92;8,407522329;;;3165;7,102675774;;;1879,31;#NUM!;;;;;
;172,78;7,571659356;;;2776,75;7,267991788;;;3036,34;7,363873688;;;2045,38;7,54942687;;;803,92;8,346948993;;;3195;7,087616443;;;1882,14;#NUM!;;;;;
;187,78;7,564023825;;;2777,75;7,259630091;;;3096,34;7,358474858;;;2075,38;7,529679538;;;833,92;8,30850391;;;3225;7,067004121;;;1884,31;6,71715181;;;;;
;202,78;7,552634442;;;2778,75;7,262180388;;;3156,34;7,351818763;;;2105,38;7,537947425;;;863,92;8,290082859;;;3255;7,048030475;;;1889,31;6,610315023;;;;;
;217,78;7,554919174;;;2779,75;7,261834237;;;3216,34;7,352511673;;;2135,38;7,528362037;;;893,92;8,298412425;;;3285;7,037645234;;;1894,31;6,529167121;;;;;
;232,78;7,544785149;;;2780,75;7,262704141;;;3276,34;7,348880764;;;2165,38;7,526812159;;;923,92;8,250321544;;;3315;7,0298968;;;1899,31;6,525645839;;;;;
;247,78;7,540504385;;;2781,75;7,261370851;;;3336,34;;;;2195,38;7,538294233;;;953,92;8,28711294;;;3345;7,011770822;;;1904,31;6,492885906;;;;;
;262,78;7,531320765;;;2782,75;7,266378251;;;3389,73;6,965995669;;;2225,38;7,524570372;;;983,92;8,346976266;;;3375;7,007311333;;;1909,31;6,552711222;;;;;
;277,78;7,523902935;;;2783,75;7,263077073;;;3396,04;6,908267579;;;2255,38;7,520496696;;;1013,93;8,301026246;;;3405;7,006725154;;;1914,31;6,508607543;;;;;
;292,78;7,516577935;;;2784,75;7,267028097;;;3397,04;6,869403057;;;2285,38;7,512883733;;;1043,93;8,334400358;;;3435;7,014829709;;;1919,31;#NUM!;;;;;
;412,78;7,496538376;;;2785,75;7,266019189;;;3398,04;6,834006417;;;2315,38;7,517289857;;;1073,93;8,313196666;;;3465;7,005613825;;;1924,31;#NUM!;;;;;
;532,78;7,480912369;;;2786,75;7,262945235;;;3399,04;6,805385469;;;2345,38;7,510301117;;;1103,93;8,263029529;;;3495;6,987525723;;;1929,31;6,590500808;;;;;
;652,78;7,469762108;;;2787,75;7,263135759;;;3400,04;6,780932408;;;2375,38;7,510953452;;;1133,93;8,356031436;;;3525;6,953878149;;;1934,31;6,437577923;;;;;
;772,78;7,462303735;;;2788,75;7,26021303;;;3401,04;6,752324147;;;2405,38;7,513226349;;;1163,93;8,326624507;;;3530,83;;;;1939,31;6,541647924;;;;;
;892,78;7,45408716;;;2789,75;7,255421264;;;3402,04;6,725343978;;;2435,38;7,500032546;;;1193,93;8,343139858;;;3555;6,291639875;;;;;;;;;
;1012,78;7,44679227;;;2790,75;7,256044778;;;3403,04;6,707121004;;;2465,38;7,490695763;;;1223,93;8,343139858;;;3564,89;6,10312293;;;;;;;;;
;1132,78;7,440315812;;;2791,75;7,254127524;;;3404,04;6,691015147;;;2495,38;7,494400128;;;1253,93;8,424415898;;;3569,89;6,010950829;;;;;;;;;
;1252,78;7,435916138;;;2792,75;7,253668628;;;3405,04;6,671309004;;;2525,38;7,490068934;;;1283,93;8,38899812;;;3574,89;5,898587185;;;;;;;;;
;1372,78;7,431591013;;;2793,75;7,25262609;;;3406,04;6,663177179;;;2555,38;7,492318649;;;1313,93;8,324205882;;;3579,89;5,825851202;;;;;;;;;
